ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Location_Center_X,Location_Center_Y,Number_Object_Number
1,35,201,833.0,138.0,1.0780776630506572,0.72237631237002597,1.0,0.70526315789473681,0.77448323248857176,19.38143996462717,19.313207915827967,6.7082039324993694,2.8414042291573907,2.8284271247461903,13.645115946344655,13.40226872511151,-75.91379045047519,57.108000000000011,0.91571753986332571,832.85074626865674,139.23880597014926,35
1,36,459,867.0,141.0,1.4237201241378659,0.86277188567562935,1.0,0.57954545454545459,0.5072986786775644,36.427693110757431,35.355339059327378,7.810249675906654,3.2088565964542539,2.8284271247461903,20.059218897397841,18.41760075161719,-84.832285112638232,106.63000000000004,0.78260869565217395,869.07407407407402,142.87799564270153,36
1,37,402,346.0,144.0,1.2456566536893015,0.84693454057909812,1.0,0.68251273344651953,0.72893415493046032,31.564265587340564,31.048349392520048,8.5440037453175304,3.4294392702685408,3.0,17.20179174807852,16.782630786483747,-74.963331006017697,83.248000000000033,0.90744920993227995,345.05721393034827,148.0273631840796,37
1,38,591,888.0,148.0,1.0976482473742106,0.59007372352059062,1.0,0.59939148073022308,0.62378710287588601,31.648749005527492,33.61547262794322,10.440306508910551,4.0690140175163263,3.6055512754639891,26.16295090390226,25.551597484093467,2.0938632663166263,109.11400000000006,0.86151603498542273,887.95431472081214,146.7834179357022,38
1,39,79,675.0,150.0,1.1824197792494116,0.82157962288771202,1.0,0.65833333333333333,0.73322241809627775,13.477669367618152,12.806248474865697,4.0,1.877437264920516,2.0,7.0710678118654755,7.6835355375636283,34.743516729485208,36.796000000000006,0.97530864197530864,676.03797468354435,150.54430379746836,39
1,40,279,853.0,152.0,1.0329944753146987,0.61157279728866121,1.0,0.73421052631578942,0.83146314060663429,21.296877899717916,21.095023109728988,8.5440037453175304,3.3348947580015338,3.0,16.546903033498445,16.849837761594372,57.327538748871838,64.936000000000021,0.93000000000000005,853.415770609319,152.584229390681,40
1,41,263,902.0,160.0,1.1132642435688354,0.73511064084957833,1.0,0.60183066361556059,0.7398960415570357,22.653731586056427,22.360679774997898,7.0710678118654755,3.0255957620122964,2.8284271247461903,15.740543379513712,15.358032891216231,-23.27423588628162,66.834000000000032,0.93097345132743359,901.05323193916354,160.61596958174906,41
1,42,89,875.0,166.0,1.063607338503654,0.52255392098635944,1.0,0.7416666666666667,0.72745508846775975,11.886930502651166,12.206555615733702,5.0,2.0098958870193711,2.0,9.0,10.13487111525461,49.394596800267813,39.210000000000008,0.87684729064039413,874.89887640449433,165.62921348314606,42
1,43,407,322.0,167.0,1.2478091204615194,0.85295628229625353,1.0,0.56137931034482758,0.69194250123804535,31.913908815372952,30.413812651491099,8.0622577482985491,3.4574577649951648,3.1622776601683795,16.099689437998485,16.658497328392933,-54.633596255802296,85.974000000000046,0.91051454138702459,320.42260442260442,170.22850122850122,43
1,44,301,906.0,175.0,1.0473058002748663,0.64225281809305312,1.0,0.68409090909090908,0.74299930019601124,22.536495202026661,22.847319317591726,8.0622577482985491,3.3562646242951515,3.0,16.413304107465319,17.27406285613365,-39.961509690906198,71.350000000000023,0.92615384615384611,906.39202657807311,174.56478405315616,44
1,45,217,889.0,173.0,1.0450342495725198,0.48858936987773777,1.0,0.63450292397660824,0.748712439879751,18.162915143224541,18.788294228055936,7.2111025509279782,2.8964575583169068,2.8284271247461903,14.616004454258235,15.847395114602055,43.497116451505121,60.350000000000023,0.89484536082474231,888.9308755760369,172.46543778801842,45
1,46,233,923.0,177.0,1.1675912645110444,0.57280820018773648,1.0,0.64722222222222225,0.58756350409598179,20.408367432069333,20.808652046684813,6.7082039324993694,2.6851543205228641,2.2360679774997898,16.814303797146675,16.72852311921099,12.62070217731646,70.592000000000027,0.80902777777777779,923.31330472103002,178.91416309012877,46
1,47,120,923.0,189.0,1.2010737774781572,0.78998793473896456,1.0,0.57416267942583732,0.46632183218118822,16.402889905815901,19.313207915827967,5.0,2.2153542022727208,2.0,9.8030607465219752,10.056979033168471,-19.840390967374429,56.866000000000021,0.83916083916083917,923.9666666666667,188.95833333333334,47
1,48,287,908.0,193.0,1.037332635140735,0.56914574306910382,1.0,0.7192982456140351,0.78703021657716155,21.317960425027827,22.360679774997898,8.6023252670426267,3.3369066165219725,3.0,16.918355984869489,17.528408553235373,-57.955398874090932,67.694000000000031,0.93030794165316044,908.25435540069691,191.95470383275261,48
1,49,461,932.0,200.0,1.1629735604816596,0.71143039513433071,1.0,0.5507765830346476,0.62577209601029982,30.263491614608629,30.016662039607269,8.9442719099991592,3.5712568470763775,3.1622776601683795,21.626810188257512,21.267867481502769,-18.465917675984674,96.216000000000037,0.8474264705882355,930.26247288503259,199.11496746203903,49
1,50,346,304.0,196.0,1.2421729619974526,0.85455800127279447,1.0,0.59655172413793101,0.70267741395685657,29.399397854029125,30.083217912982647,7.6157731058639087,3.28144057338536,3.0,14.758048651498612,15.268752758365048,-62.437248414925492,78.662000000000035,0.94021739130434778,304.63005780346822,193.77167630057804,50
1,51,405,933.0,218.0,1.5996921857571405,0.87123518484375773,1.0,0.49632352941176472,0.49175606173928216,36.484812491214591,33.955853692699293,6.4031242374328485,2.7830660329285388,2.8284271247461903,20.466724028354665,17.909147380457245,-22.606048076850456,101.73200000000004,0.72972972972972971,935.11358024691356,213.75061728395062,51
1,52,332,949.0,221.0,1.0932809341827783,0.69495989013600645,1.0,0.68595041322314054,0.76675925967226977,24.729495515019579,24.413111231467404,8.9442719099991592,3.4002583852355266,3.0,17.677669529663689,17.78170675470675,-43.71759307066592,73.764000000000024,0.91460055096418735,949.74698795180723,220.35843373493975,52
1,53,265,288.0,224.0,1.1107112781012423,0.77396058803504775,1.0,0.80303030303030298,0.85853603858483063,23.182974440097485,22.472205054244231,7.2801098892805181,3.1791737326925524,3.0,14.0,14.680242317330782,-73.064769903400034,62.280000000000015,0.95495495495495497,288.33962264150944,222.88679245283018,53
1,54,393,959.0,236.0,1.1113837839478649,0.6484545214579408,1.0,0.62980769230769229,0.71677597862745002,26.575719025413768,26.92582403567252,8.6023252670426267,3.475275914409135,3.0,19.313702604116457,20.230856371093992,-27.500672518220934,83.006000000000029,0.87430478309232484,957.64885496183206,235.77862595419847,54
1,55,478,276.0,248.0,1.3279499118886322,0.86548314851632391,1.0,0.68285714285714283,0.71224721240965672,35.970615037837206,34.525353003264136,9.0,3.608256024672662,3.1622776601683795,18.384776310850235,18.019049384424502,77.136928332812786,91.834000000000032,0.90874524714828897,274.31589958158997,244.02301255230125,55
1,56,594,970.0,251.0,1.0848564157979788,0.63334506442284766,1.0,0.64008620689655171,0.69832250873666535,32.061599276307483,31.575306807693888,10.295630140987001,4.1697287675000281,3.6055512754639891,25.74409875465939,24.811494346812761,-11.168952167875377,103.38800000000005,0.88789237668161447,971.13131313131316,252.99831649831651,56
1,57,703,985.0,276.0,1.0918609284291094,0.70866964178438119,1.0,0.64377289377289382,0.73409443854038747,36.14273110590289,38.832975677895199,12.165525060596439,4.6521063578817676,4.1231056256176606,26.922258449097466,25.500159081863931,-77.837449067024011,109.70000000000005,0.91536458333333337,984.63726884779521,275.07823613086771,57
