,index,standard deviation,mean gap,nb non zero gap,max gap,solving time,objective value
156,6,0.00375,0.0014877255559539154,48,0.004620643800931771,80.71346699999958,0.0001290695972591024
157,7,0.00375,0.003320739189103906,48,0.01148689357633207,214.16497400000026,0.00012206450303546056
158,8,0.00375,0.0013913896627132383,48,0.004903733130156275,96.956365,0.0002465204439481273
159,9,0.00375,0.000799089593033247,48,0.003480234128051523,59.682534999999916,8.54202744856613e-05
160,10,0.00375,0.0034647713612628883,48,0.013075553251666185,1000.379809,0.00028312005390397535
161,11,0.00375,0.0002715423511765501,48,0.0025572935106100703,38.27984500000002,0.0002224968324268559
162,12,0.00375,0.00025245406897515896,12,0.002584674090699665,10.07867299999998,0.00020837827803130997
163,13,0.00375,0.0020924954211560477,48,0.008517061547851916,304.2505719999999,0.00022315145325089127
164,14,0.00375,0.003032619003746332,48,0.011996227882649466,206.57156300000042,3.860858619790409e-05
165,15,0.00375,0.002145135138421098,48,0.00879040485308423,860.7200919999996,0.00011844550188172393
166,16,0.00375,0.0018800409485958845,48,0.008137031335897708,500.6224970000012,0.00010318057978093568
167,17,0.00375,0.0009249577264590297,48,0.0031345654798006772,194.51187200000095,0.00010376203226074788
168,18,0.00375,0.00634190502842106,48,0.026453177613771306,3191.7435889999997,0.00022557926548255071
169,19,0.00375,0.001763195329789845,48,0.007475448311045581,101.11148200000025,0.00018997032277669407
170,20,0.00375,0.0017116624703157233,48,0.0073874270343630075,110.02287400000023,0.00018226287363214087
171,21,0.00375,0.0011734730990121567,48,0.0035506352403939234,193.8051720000003,5.079818265830608e-05
172,22,0.00375,0.0015100781666491498,48,0.0044519698234869315,118.19582899999841,0.00028111024202033037
173,23,0.00375,0.002939890687089492,48,0.009332281091117424,343.5392159999992,7.224534564930387e-05
174,24,0.00375,0.002664289276610004,48,0.012659714879777038,228.254316999999,0.00010596754707992434
175,25,0.00375,0.002712656562757895,48,0.008934592189871776,291.79599400000006,8.415942303987138e-05
176,26,0.00375,0.0015373557492272113,48,0.0076047686522578845,366.469301000001,4.0746243749259945e-05
177,27,0.00375,0.005517540834240051,48,0.02404610019466287,1506.7532530000008,0.00023543981973775589
178,28,0.00375,0.002192895079927493,48,0.010390052062684937,144.14662399999906,0.00022898813389370795
179,29,0.00375,0.0035553669206436662,48,0.011176248186432557,256.7380039999989,9.795851259196976e-05
180,30,0.00375,0.002252404935130394,48,0.008562659101958275,476.75369599999976,0.00018977310847565566
181,31,0.00375,0.0020353556241620874,48,0.008093452975682619,256.5761650000004,0.00019343691373934185
182,32,0.00375,0.0013792602797486487,48,0.003801267958182643,88.62279099999796,0.00031492056226190067
183,33,0.00375,0.003453793387560744,48,0.011901991259742978,440.01822000000175,3.244472232516449e-05
